schema_version,dataset_type,exchange,symbol,instrument_type,event_time,ingested_at,run_id,source_endpoint,open_time,close_time,timeframe,open_interest,open_interest_value,oi_ffill,oi_is_observed,minutes_since_oi_observation
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2021-07-28 19:00:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2021-07-28 19:00:00+00:00,2021-07-28 19:00:59.999000+00:00,1m,176172178.0,0.0,176172178.0,False,660
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2024-06-01 12:37:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-06-01 12:37:00+00:00,2024-06-01 12:37:59.999000+00:00,1m,473591554.0,0.0,473591554.0,False,277
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2019-08-15 22:43:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2019-08-15 22:43:00+00:00,2019-08-15 22:43:59.999000+00:00,1m,9818964.0,0.0,9818964.0,False,883
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2024-12-11 02:11:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-12-11 02:11:00+00:00,2024-12-11 02:11:59.999000+00:00,1m,342247197.0,0.0,342247197.0,False,1091
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2019-09-30 02:00:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2019-09-30 02:00:00+00:00,2019-09-30 02:00:59.999000+00:00,1m,12009329.0,0.0,12009329.0,False,1080
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2024-03-13 05:13:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2024-03-13 05:13:00+00:00,2024-03-13 05:13:59.999000+00:00,1m,780650467.0,0.0,780650467.0,False,1273
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2022-06-18 12:47:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2022-06-18 12:47:00+00:00,2022-06-18 12:47:59.999000+00:00,1m,261924157.0,0.0,261924157.0,False,287
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2025-11-27 10:51:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2025-11-27 10:51:00+00:00,2025-11-27 10:51:59.999000+00:00,1m,384636467.0,0.0,384636467.0,False,171
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2019-11-18 11:18:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2019-11-18 11:18:00+00:00,2019-11-18 11:18:59.999000+00:00,1m,13876122.0,0.0,13876122.0,False,198
v1,oi_m1_feature,deribit,ETH-PERPETUAL,perp,2022-06-14 07:08:00+00:00,2026-05-03 15:24:28.883176+00:00,sample_20260503T152428883127Z,public_open_interest,2022-06-14 07:08:00+00:00,2022-06-14 07:08:59.999000+00:00,1m,376519981.0,0.0,376519981.0,False,1388
